x coord, t coord, heat
0, 0, 0
0.01, 0, 0
0.02, 0, 0
0.03, 0, 0
0.04, 0, 0
0.05, 0, 0
0.06, 0, 0
0.07, 0, 0
0.08, 0, 0
0.09, 0, 0
0.1, 0, 0
0.11, 0, 0.2
0.12, 0, 0.4
0.13, 0, 0.6
0.14, 0, 0.8
0.15, 0, 1
0.16, 0, 1
0.17, 0, 1
0.18, 0, 1
0.19, 0, 1
0.2, 0, 1
0.21, 0, 1
0.22, 0, 1
0.23, 0, 1
0.24, 0, 1
0.25, 0, 1
0.26, 0, 1
0.27, 0, 1
0.28, 0, 1
0.29, 0, 1
0.3, 0, 1
0.31, 0, 1
0.32, 0, 1
0.33, 0, 1
0.34, 0, 1
0.35, 0, 1
0.36, 0, 0.8
0.37, 0, 0.6
0.38, 0, 0.4
0.39, 0, 0.2
0.4, 0, 0
0.41, 0, 0
0.42, 0, 0
0.43, 0, 0
0.44, 0, 0
0.45, 0, 0
0.46, 0, 0
0.47, 0, 0
0.48, 0, 0
0.49, 0, 0
0.5, 0, 0
0.51, 0, 0
0.52, 0, 0
0.53, 0, 0
0.54, 0, 0
0.55, 0, 0
0.56, 0, 0
0.57, 0, 0
0.58, 0, 0
0.59, 0, 0
0.6, 0, 0
0.61, 0, 0.2
0.62, 0, 0.4
0.63, 0, 0.6
0.64, 0, 0.8
0.65, 0, 1
0.66, 0, 1
0.67, 0, 1
0.68, 0, 1
0.69, 0, 1
0.7, 0, 1
0.71, 0, 1
0.72, 0, 1
0.73, 0, 1
0.74, 0, 1
0.75, 0, 1
0.76, 0, 1
0.77, 0, 1
0.78, 0, 1
0.79, 0, 1
0.8, 0, 1
0.81, 0, 1
0.82, 0, 1
0.83, 0, 1
0.84, 0, 1
0.85, 0, 1
0.86, 0, 0.8
0.87, 0, 0.6
0.88, 0, 0.4
0.89, 0, 0.2
0.9, 0, 0
0.91, 0, 0
0.92, 0, 0
0.93, 0, 0
0.94, 0, 0
0.95, 0, 0
0.96, 0, 0
0.97, 0, 0
0.98, 0, 0
0.99, 0, 0
1, 0, 0
0, 1, 0
0.01, 1, 0.00510046
0.02, 1, 0.0115557
0.03, 1, 0.0208202
0.04, 1, 0.0345079
0.05, 1, 0.054376
0.06, 1, 0.0822101
0.07, 1, 0.119607
0.08, 1, 0.167684
0.09, 1, 0.226766
0.1, 1, 0.296142
0.11, 1, 0.373963
0.12, 1, 0.457341
0.13, 1, 0.542659
0.14, 1, 0.626036
0.15, 1, 0.703855
0.16, 1, 0.773228
0.17, 1, 0.832299
0.18, 1, 0.880352
0.19, 1, 0.917694
0.2, 1, 0.945404
0.21, 1, 0.965009
0.22, 1, 0.978154
0.23, 1, 0.986345
0.24, 1, 0.990764
0.25, 1, 0.992152
0.26, 1, 0.990764
0.27, 1, 0.986345
0.28, 1, 0.978154
0.29, 1, 0.965009
0.3, 1, 0.945404
0.31, 1, 0.917694
0.32, 1, 0.880352
0.33, 1, 0.832299
0.34, 1, 0.773228
0.35, 1, 0.703855
0.36, 1, 0.626036
0.37, 1, 0.542659
0.38, 1, 0.457341
0.39, 1, 0.373964
0.4, 1, 0.296145
0.41, 1, 0.226772
0.42, 1, 0.167701
0.43, 1, 0.119648
0.44, 1, 0.0823064
0.45, 1, 0.0545957
0.46, 1, 0.0349914
0.47, 1, 0.0218464
0.48, 1, 0.0136545
0.49, 1, 0.00923607
0.5, 1, 0.00784758
0.51, 1, 0.00923607
0.52, 1, 0.0136545
0.53, 1, 0.0218464
0.54, 1, 0.0349914
0.55, 1, 0.0545957
0.56, 1, 0.0823064
0.57, 1, 0.119648
0.58, 1, 0.167701
0.59, 1, 0.226772
0.6, 1, 0.296145
0.61, 1, 0.373964
0.62, 1, 0.457341
0.63, 1, 0.542659
0.64, 1, 0.626036
0.65, 1, 0.703855
0.66, 1, 0.773228
0.67, 1, 0.832299
0.68, 1, 0.880352
0.69, 1, 0.917694
0.7, 1, 0.945404
0.71, 1, 0.965009
0.72, 1, 0.978154
0.73, 1, 0.986345
0.74, 1, 0.990764
0.75, 1, 0.992152
0.76, 1, 0.990764
0.77, 1, 0.986345
0.78, 1, 0.978154
0.79, 1, 0.965009
0.8, 1, 0.945404
0.81, 1, 0.917694
0.82, 1, 0.880352
0.83, 1, 0.832299
0.84, 1, 0.773228
0.85, 1, 0.703855
0.86, 1, 0.626036
0.87, 1, 0.542659
0.88, 1, 0.457341
0.89, 1, 0.373963
0.9, 1, 0.296142
0.91, 1, 0.226766
0.92, 1, 0.167684
0.93, 1, 0.119607
0.94, 1, 0.0822101
0.95, 1, 0.054376
0.96, 1, 0.0345079
0.97, 1, 0.0208202
0.98, 1, 0.0115557
0.99, 1, 0.00510046
1, 1, 0
0, 2, 0
0.01, 2, 0.0192447
0.02, 2, 0.0397171
0.03, 2, 0.0625867
0.04, 2, 0.0889052
0.05, 2, 0.119547
0.06, 2, 0.155149
0.07, 2, 0.196061
0.08, 2, 0.242304
0.09, 2, 0.293547
0.1, 2, 0.349116
0.11, 2, 0.408021
0.12, 2, 0.469022
0.13, 2, 0.530711
0.14, 2, 0.591616
0.15, 2, 0.650305
0.16, 2, 0.705481
0.17, 2, 0.756062
0.18, 2, 0.801229
0.19, 2, 0.840439
0.2, 2, 0.873411
0.21, 2, 0.900082
0.22, 2, 0.920541
0.23, 2, 0.93496
0.24, 2, 0.943521
0.25, 2, 0.946358
0.26, 2, 0.943521
0.27, 2, 0.93496
0.28, 2, 0.920541
0.29, 2, 0.900082
0.3, 2, 0.873412
0.31, 2, 0.84044
0.32, 2, 0.801232
0.33, 2, 0.756069
0.34, 2, 0.705494
0.35, 2, 0.650331
0.36, 2, 0.591666
0.37, 2, 0.530805
0.38, 2, 0.469195
0.39, 2, 0.408334
0.4, 2, 0.349669
0.41, 2, 0.294506
0.42, 2, 0.243931
0.43, 2, 0.198768
0.44, 2, 0.15956
0.45, 2, 0.126588
0.46, 2, 0.0999179
0.47, 2, 0.0794587
0.48, 2, 0.0650399
0.49, 2, 0.0564794
0.5, 2, 0.0536424
0.51, 2, 0.0564794
0.52, 2, 0.0650399
0.53, 2, 0.0794587
0.54, 2, 0.0999179
0.55, 2, 0.126588
0.56, 2, 0.15956
0.57, 2, 0.198768
0.58, 2, 0.243931
0.59, 2, 0.294506
0.6, 2, 0.349669
0.61, 2, 0.408334
0.62, 2, 0.469195
0.63, 2, 0.530805
0.64, 2, 0.591666
0.65, 2, 0.650331
0.66, 2, 0.705494
0.67, 2, 0.756069
0.68, 2, 0.801232
0.69, 2, 0.84044
0.7, 2, 0.873412
0.71, 2, 0.900082
0.72, 2, 0.920541
0.73, 2, 0.93496
0.74, 2, 0.943521
0.75, 2, 0.946358
0.76, 2, 0.943521
0.77, 2, 0.93496
0.78, 2, 0.920541
0.79, 2, 0.900082
0.8, 2, 0.873411
0.81, 2, 0.840439
0.82, 2, 0.801229
0.83, 2, 0.756062
0.84, 2, 0.705481
0.85, 2, 0.650305
0.86, 2, 0.591616
0.87, 2, 0.530711
0.88, 2, 0.469022
0.89, 2, 0.408021
0.9, 2, 0.349116
0.91, 2, 0.293547
0.92, 2, 0.242304
0.93, 2, 0.196061
0.94, 2, 0.155149
0.95, 2, 0.119547
0.96, 2, 0.0889052
0.97, 2, 0.0625867
0.98, 2, 0.0397171
0.99, 2, 0.0192447
1, 2, 0
0, 3, 0
0.01, 3, 0.0287424
0.02, 3, 0.0581846
0.03, 3, 0.0889835
0.04, 3, 0.121713
0.05, 3, 0.156828
0.06, 3, 0.194634
0.07, 3, 0.235265
0.08, 3, 0.278677
0.09, 3, 0.324637
0.1, 3, 0.372745
